"","Title","Authors","Source Title","Publication Year","Total Citations"
"459","Mass Spectral Analysis of Organic Aerosol Formed Downwind of the Deepwater Horizon Oil Spill: Field Studies and Laboratory Confirmations","de Gouw;Williams;Kroll;Williams","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,32
"460","Nitryl Chloride and Molecular Chlorine in the Coastal Marine Boundary Layer","de Gouw;Williams;Williams","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,125
"461","Organosulfates as Tracers for Secondary Organic Aerosol (SOA) Formation from 2-Methyl-3-Buten-2-ol (MBO) in the Atmosphere","de Gouw;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,83
"462","The sea breeze/land breeze circulation in Los Angeles and its influence on nitryl chloride production in this region","de Gouw;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2012,38
"463","Tropospheric methanol observations from space: retrieval evaluation and constraints on the seasonality of biogenic emissions","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,25
"464","Vertically Resolved Measurements of Nighttime Radical Reservoirs; in Los Angeles and Their Contribution to the Urban Radical Budget","de Gouw;Young;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,98
"465","Detailed chemical characterization of unresolved complex mixtures in atmospheric organics: Insights into emission sources, atmospheric processing, and secondary organic aerosol formation","de Gouw;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,52
"466","Heterogeneous formation of nitryl chloride and its role as a nocturnal NOx reservoir species during CalNex-LA 2010","de Gouw;Young","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,54
"467","Observational Insights into Aerosol Formation from Isoprene","de Gouw;Goldstein;Farmer;Wennberg","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,75
"468","Organic aerosol composition and sources in Pasadena, California, during the 2010 CalNex campaign","de Gouw;Goldstein;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,161
"469","Ozone photochemistry in an oil and natural gas extraction region during winter: simulations of a snow-free season in the Uintah Basin, Utah","de Gouw;Williams;Young;Geiger;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,60
"470","Photochemical aging of volatile organic compounds in the Los Angeles basin: Weekday-weekend effect","de Gouw;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,32
"471","Quantifying sources of methane using light alkanes in the Los Angeles basin, California","de Gouw;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,127
"472","The 2010 California Research at the Nexus of Air Quality and Climate Change (CalNex) field study","de Gouw;Goldstein;Williams;Williams;Prather","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,148
"473","Understanding the role of the ground surface in HONO vertical structure: High resolution vertical profiles during NACHTT-11","de Gouw;Young;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,77
"474","A portable and inexpensive method for quantifying ambient intermediate volatility organic compounds","de Gouw;Ruiz","ATMOSPHERIC ENVIRONMENT",2014,6
"475","Atmospheric amines and ammonia measured with a chemical ionization mass spectrometer (CIMS)","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,86
"476","Conversion of hydroperoxides to carbonyls in field and laboratory instrumentation: Observational bias in diagnosing pristine versus anthropogenically controlled atmospheric chemistry","de Gouw;Wennberg","GEOPHYSICAL RESEARCH LETTERS",2014,69
"477","Emissions of organic carbon and methane from petroleum and dairy operations in California's San Joaquin Valley","de Gouw;Goldstein;Wennberg;VandenBoer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,37
"478","Fine-scale simulation of ammonium and nitrate over the South Coast Air Basin and San Joaquin Valley of California during CalNex-2010","de Gouw;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2014,39
"479","High winter ozone pollution from carbonyl photolysis in an oil and gas basin","de Gouw;Young","NATURE",2014,154
"480","Measurements of hydrogen sulfide (H2S) using PTR-MS: calibration, humidity dependence, inter-comparison and results from field studies in an oil and gas production region","de Gouw;Geiger","ATMOSPHERIC MEASUREMENT TECHNIQUES",2014,17
"481","New insights into atmospheric sources and sinks of isocyanic acid, HNCO, from recent urban and regional observations","de Gouw;Williams;Williams;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2014,28
"482","Volatile organic compound emissions from the oil and natural gas industry in the Uintah Basin, Utah: oil and gas well pad emissions compared to ambient air composition","de Gouw;Geiger","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,71
"483","A large and ubiquitous source of atmospheric formic acid","de Gouw;Williams;Farmer;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,113
"484","Characterization of a real-time tracer for isoprene epoxydiols-derived secondary organic aerosol (IEPOX-SOA) from aerosol mass spectrometer measurements","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,133
"485","Effects of anthropogenic emissions on aerosol formation from isoprene and monoterpenes in the southeastern United States (vol 112, pg 37, 2015)","de Gouw;Goldstein;Isaacman-VanWertz","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2015,7
"486","Gas and aerosol carbon in California: comparison of measurements and model predictions in Pasadena and Bakersfield","de Gouw;Goldstein;Stevens","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,30
"487","Investigation of secondary formation of formic acid: urban environment vs. oil and gas producing region","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,41
"488","Observation of isoprene hydroxynitrates in the southeastern United States and implications for the fate of NOx","de Gouw;Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,51
"489","Organic nitrate aerosol formation via NO3 + biogenic volatile organic compounds in the southeastern United States","de Gouw;Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,72
"490","Understanding high wintertime ozone pollution events in an oil- and natural gas-producing region of the western US","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,91
"491","Atmospheric fates of Criegee intermediates in the ozonolysis of isoprene","de Gouw;Goldstein;Wennberg","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2016,98
"492","Contribution of human-related sources to indoor volatile organic compounds in a university classroom","de Gouw;Ziemann","INDOOR AIR",2016,44
"493","Highly functionalized organic nitrates in the southeast United States: Contribution to secondary organic aerosol and reactive nitrogen budgets","de Gouw;Goldstein","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2016,153
"494","Influence of oil and gas emissions on summertime ozone in the Colorado Northern Front Range","de Gouw;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,62
"495","Isoprene suppression of new particle formation: Potential mechanisms and implications","de Gouw;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,25
"496","Measurements of hydroxyl and hydroperoxy radicals during CalNex-LA: Model comparisons and radical budgets","de Gouw;Young;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,45
"497","Observational constraints on glyoxal production from isoprene oxidation and its contribution to organic aerosol over the Southeast United States","de Gouw;McNeill","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,27
"498","Reactive nitrogen partitioning and its relationship to winter ozone events in Utah","de Gouw;Williams;Young;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,18
"499","Speciation of OH reactivity above the canopy of an isoprene-dominated forest","de Gouw;Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,38
"500","Testing Atmospheric Oxidation in an Alabama Forest","de Gouw;Goldstein;Wennberg","JOURNAL OF THE ATMOSPHERIC SCIENCES",2016,32
"501","The lifetime of nitrogen oxides in an isoprene-dominated forest","de Gouw;Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,45
"502","Volatility and lifetime against OH heterogeneous reaction of ambient isoprene-epoxydiols-derived secondary organic aerosol (IEPOX-SOA)","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,55
"503","An improved, automated whole air sampler and gas chromatography mass spectrometry analysis system for volatile organic compounds in the atmosphere","de Gouw;Isaacman-VanWertz","ATMOSPHERIC MEASUREMENT TECHNIQUES",2017,28
"504","Automated single-ion peak fitting as an efficient approach for analyzing complex chromatographic data","de Gouw;Goldstein;Isaacman-VanWertz","JOURNAL OF CHROMATOGRAPHY A",2017,17
"505","Chemistry of Volatile Organic Compounds in the Los Angeles basin: Nighttime Removal of Alkenes and Determination of Emission Ratios","de Gouw;Isaacman-VanWertz;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2017,19
"506","Effects of gas-wall partitioning in Teflon tubing and instrumentation on time-resolved measurements of gas-phase organic compounds","de Gouw;Ziemann","ATMOSPHERIC MEASUREMENT TECHNIQUES",2017,63
"507","Investigating diesel engines as an atmospheric source of isocyanic acid in urban areas","de Gouw;Farmer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,19
"508","Qualitative and quantitative analysis of atmospheric organosulfates in Centreville, Alabama","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,45
"509","Review of Urban Secondary Organic Aerosol Formation from Gasoline and Diesel Motor Vehicle Emissions","de Gouw;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2017,185
"510","Chemistry of Volatile Organic Compounds in the Los Angeles Basin: Formation of Oxygenated Compounds and Determination of Emission Ratios","de Gouw;Young;Isaacman-VanWertz;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2018,19
"511","Effects of temperature-dependent NOx emissions on continental ozone production","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,24
"512","Identification and Quantification of 4-Nitrocatechol Formed from OH and NO3 Radical-Initiated Reactions of Catechol in Air in the Presence of NOx: Implications for Secondary Organic Aerosol Formation from Biomass Burning","de Gouw;Ziemann","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,57
"513","Intercomparison of OH and OH reactivity measurements in a high isoprene and low NO environment during the Southern Oxidant and Aerosol Study (SOAS)","de Gouw;Goldstein;Wennberg","ATMOSPHERIC ENVIRONMENT",2018,10
"514","Monoterpenes are the largest source of summertime organic aerosol in the southeastern United States","de Gouw;Goldstein;Isaacman-VanWertz","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2018,100
"515","Nitrous acid formation in a snow-free wintertime polluted rural area","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,13
"516","Southeast Atmosphere Studies: learning from model-observation syntheses","de Gouw;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,24
"517","SYNTHESIS OF THE SOUTHEAST ATMOSPHERE STUDIES: Investigating Fundamental Atmospheric Chemistry Questions","de Gouw;Goldstein;Turpin;Farmer;Wennberg","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY",2018,38
"518","Volatile chemical products emerging as largest petrochemical source of urban organic emissions","de Gouw;Goldstein;Isaacman-VanWertz","SCIENCE",2018,305
"519","Autoxidation of Limonene Emitted in a University Art Museum","de Gouw;Ziemann","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2019,8
"520","Budgets of Organic Carbon Composition and Oxidation in Indoor Air","de Gouw;Ziemann","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,11
"521","Effects of gas-wall interactions on measurements of semivolatile compounds and small polar molecules","de Gouw;Ziemann","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,22
"522","Importance of biogenic volatile organic compounds to acyl peroxy nitrates (APN) production in the southeastern US during SOAS 2013","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,5
"523","Measurements of delays of gas-phase compounds in a wide variety of tubing materials due to gas-wall interactions","de Gouw;Ziemann","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,35
"524","OH chemistry of non-methane organic gases (NMOGs) emitted from laboratory and ambient biomass burning smoke: evaluating the influence of furans and oxygenated aromatics on ozone and secondary NMOG formation","de Gouw;Kroll","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,21
"525","Products and Secondary Organic Aerosol Yields from the OH and NO3 Radical-Initiated Oxidation of Resorcinol","de Gouw;Ziemann","ACS EARTH AND SPACE CHEMISTRY",2019,8
"526","Secondary organic aerosol formation from the laboratory oxidation of biomass burning emissions","de Gouw;Kroll","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,32
"527","Simulating the Weekly Cycle of NOx-VOC-HOx-O-3 Photochemical System in the South Coast of California During CalNex-2010 Campaign","de Gouw;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2019,1
"528","Time-Resolved Measurements of Indoor Chemical Emissions, Deposition, and Reactions in a University Art Museum","de Gouw;Ziemann","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,28
"529","Biomass-burning-derived particles from a wide variety of fuels - Part 2: Effects of photochemical aging on particle optical and chemical properties","de Gouw;Kroll","ATMOSPHERIC CHEMISTRY AND PHYSICS",2020,10
"530","Contrasting Reactive Organic Carbon Observations in the Southeast United States (SOAS) and Southern California (CalNex)","de Gouw;Goldstein;Young;Isaacman-VanWertz;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,1
"531","Measurements and modeling of absorptive partitioning of volatile organic compounds to painted surfaces","de Gouw;Ziemann","INDOOR AIR",2020,9
"532","Oxygenated Aromatic Compounds are Important Precursors of Secondary Organic Aerosol in Biomass-Burning Emissions","de Gouw;Kroll","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,11
"533","An in situ gas chromatograph with automatic detector switching between PTR- and EI-TOF-MS: isomer-resolved measurements of indoor air","de Gouw;Ziemann","ATMOSPHERIC MEASUREMENT TECHNIQUES",2021,1
"534","GLOVOCS - Master compound assignment guide for proton transfer reaction mass spectrometry users","de Gouw;Williams;Williams","ATMOSPHERIC ENVIRONMENT",2021,3
"535","How ant acid forms in the atmosphere","de Gouw;Farmer","NATURE",2021,0
"536","Measurements of Total OH Reactivity During CalNex-LA","de Gouw;Young;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2021,0
"537","Quantification and source characterization of volatile organic compounds from exercising and application of chlorine-based cleaning products in a university athletic center","de Gouw;Ziemann","INDOOR AIR",2021,3
"538","Secondary organic aerosols from anthropogenic volatile organic compounds contribute substantially to air pollution mortality","de Gouw;Young","ATMOSPHERIC CHEMISTRY AND PHYSICS",2021,1
"539","Sources of Gas-Phase Species in an Art Museum from Comprehensive Real-Time Measurements","de Gouw;Ziemann","ACS EARTH AND SPACE CHEMISTRY",2021,0
"540","A Chemical Perspective on Climate: Emerging Research into Atmospheric Chemistry Impacts on Earth's Radiative Balance","Prather;Farmer","ACCOUNTS OF CHEMICAL RESEARCH",2020,0
"541","A paradigm shift to combat indoor respiratory infection Building ventilation systems must get much better","Prather;Nazaroff","SCIENCE",2021,9
"542","Advancing Model Systems for Fundamental Laboratory Studies of Sea Spray Aerosol Using the Microbial Loop","Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY A",2015,42
"543","Analysis of Atmospheric Aerosols","Prather;Grassian","ANNUAL REVIEW OF ANALYTICAL CHEMISTRY",2008,109
"544","Analysis of Organic Anionic Surfactants in Fine and Coarse Fractions of Freshly Emitted Sea Spray Aerosol","Prather;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2016,86
"545","Cation-Driven Lipopolysaccharide Morphological Changes Impact Heterogeneous Reactions of Nitric Acid with Sea Spray Aerosol Particles","Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY LETTERS",2021,0
"546","Characterization of the Single Particle Mixing State of Individual Ship Plume Events Measured at the Port of Los Angeles","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2010,95
"547","Chemical properties of insoluble precipitation residue particles","Prather;Ault","JOURNAL OF AEROSOL SCIENCE",2014,23
"548","Comparison of the mixing state of long-range transported Asian and African mineral dust","Prather;Ault","ATMOSPHERIC ENVIRONMENT",2015,32
"549","Composition and hygroscopicity of the Los Angeles Aerosol: CalNex","Prather;Shiraiwa","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,63
"550","Detection of Active Microbial Enzymes in Nascent Sea Spray Aerosol: Implications for Atmospheric Chemistry and Climate","Prather;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2019,9
"551","Direct aerosol chemical composition measurements to evaluate the physicochemical differences between controlled sea spray aerosol generation schemes","Prather;Grassian","ATMOSPHERIC MEASUREMENT TECHNIQUES",2014,61
"552","Evaluation of aerosol mixing state classes in the GISS modelE-MATRIX climate model using single-particle mass spectrometry measurements","Prather;Ault","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,33
"553","Heterogeneous Chemistry of Lipopolysaccharides with Gas-Phase Nitric Acid: Reactive Sites and Reaction Pathways","Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY A",2016,12
"554","Impact of Emissions from the Los Angeles Port Region on San Diego Air Quality during Regional Transport Events","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2009,92
"555","Impact of interannual variations in sources of insoluble aerosol species on orographic precipitation over California's central Sierra Nevada","Prather;Ault","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,24
"556","Impacts of Lipase Enzyme on the Surface Properties of Marine Aerosols","Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY LETTERS",2018,11
"557","Importance of composition and hygroscopicity of BC particles to the effect of BC mitigation on cloud properties: Application to California conditions","Prather;Adams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2012,7
"558","Improving our fundamental understanding of the role of aerosol-cloud interactions in the climate system","Prather;Carslaw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2016,243
"559","Inside versus Outside: Ion Redistribution in Nitric Acid Reacted Sea Spray Aerosol Particles as Determined by Single Particle Analysis","Prather;Ault;Grassian","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",2013,75
"560","Liquid Sampling-Atmospheric Pressure Glow Discharge Ionization as a Technique for the Characterization of Salt-Containing Organic Samples","Prather;Grassian","ANALYTICAL CHEMISTRY",2020,3
"561","Measurements of Aerosol Chemistry during New Particle Formation Events at a Remote Rural Mountain Site","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,47
"562","Measurements of Isoprene-Derived Organosulfates in Ambient Aerosols by Aerosol Time-of-Flight Mass Spectrometry - Part 1: Single Particle Atmospheric Observations in Atlanta","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,90
"563","Measurements of Isoprene-Derived Organosulfates in Ambient Aerosols by Aerosol Time-of-Flight Mass Spectrometry-Part 2: Temporal Variability and Formation Mechanisms","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,59
"564","Microbial Control of Sea Spray Aerosol Composition: A Tale of Two Blooms","Prather;Grassian","ACS CENTRAL SCIENCE",2015,107
"565","Multiscale mechanisms of cell migration during development: theory and experiment","Prather;Morrison","DEVELOPMENT",2012,102
"566","On the Role of Particle Inorganic Mixing State in the Reactive Uptake of N2O5 to Ambient Aerosol Particles","Prather;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,44
"567","Organic Enrichment, Physical Phase State, and Surface Tension Depression of Nascent Core-Shell Sea Spray Aerosols during Two Phytoplankton Blooms","Prather;Grassian","ACS EARTH AND SPACE CHEMISTRY",2020,7
"568","Physicochemical Mixing State of Sea Spray Aerosols: Morphologies Exhibit Size Dependence","Prather;Grassian","ACS EARTH AND SPACE CHEMISTRY",2020,2
"569","Raman microspectroscopy and vibrational sum frequency generation spectroscopy as probes of the bulk and surface compositions of size-resolved sea spray aerosol particles","Prather;Ault;Geiger;Grassian","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2013,67
"570","Sea spray aerosol as a unique source of ice nucleating particles","Prather;Ault;Abbatt;Grassian","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2016,193
"571","Shedding Light on Photosensitized Reactions within Marine-Relevant Organic Thin Films","Prather;Grassian","ACS EARTH AND SPACE CHEMISTRY",2019,8
"572","Shipboard measurements of gaseous elemental mercury along the coast of Central and Southern California","Prather;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,13
"573","Size-Dependent Changes in Sea Spray Aerosol Composition and Properties with Different Seawater Conditions","Prather;Ault;Geiger;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,121
"574","Size-Resolved Sea Spray Aerosol Particles Studied by Vibrational Sum Frequency Generation","Prather;Ault;Geiger;Grassian","JOURNAL OF PHYSICAL CHEMISTRY A",2013,36
"575","SOURCES AND PROPERTIES OF AMAZONIAN AEROSOL PARTICLES","Prather;Goldstein","REVIEWS OF GEOPHYSICS",2010,202
"576","The 2010 California Research at the Nexus of Air Quality and Climate Change (CalNex) field study","Prather;Goldstein;Williams;Williams;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,148
"577","The Old and the New: Aging of Sea Spray Aerosol and Formation of Secondary Marine Aerosol through OH Oxidation Reactions","Prather;Grassian","ACS EARTH AND SPACE CHEMISTRY",2019,6
"578","Tools for the Microbiome: Nano and Beyond","Prather;Young","ACS NANO",2016,91
"579","Transition Metal Associations with Primary Biological Particles in Sea Spray Aerosol Generated in a Wave Channel","Prather;Ault;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,40
"580","Decomposition of perfluorooctane sulfonate (PFOS) using a hybrid process with electron beam and chemical oxidants","Doudrick;Young","CHEMICAL ENGINEERING JOURNAL",2019,23
"581","Identification of transformation products to characterize the ability of a natural wetland to degrade synthetic organic pollutants","Doudrick;Young","WATER RESEARCH",2020,4
"582","Rapid method for testing efficacy of nano-engineered coatings for mitigating tin whisker growth","Doudrick;Williams;Williams","MICROELECTRONICS RELIABILITY",2015,9
"583","Constraining particle evolution from wall losses, coagulation, and condensation-evaporation in smog-chamber experiments: Optimal estimation based on size distribution measurements","Ruiz;Adams","AEROSOL SCIENCE AND TECHNOLOGY",2008,62
"584","Effect of aerosol composition on the performance of low-cost optical particle counter correction factors","Ruiz;Young","ATMOSPHERIC MEASUREMENT TECHNIQUES",2020,11
"585","Evaluating the Mixing of Organic Aerosol Components Using High-Resolution Aerosol Mass Spectrometry","Ruiz;Kroll","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,34
"586","Inferring Aerosol Sources from Low-Cost Air Quality Sensor Measurements: A Case Study in Delhi, India","Ruiz;Kroll","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2019,7
"587","Introducing the Wunderkammer as a tool for emotion research: Unconstrained gaze and movement patterns in three emotionally evocative virtual worlds","Ruiz;Hartmann","COMPUTERS IN HUMAN BEHAVIOR",2016,13
"588","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Ruiz;Goldstein;Farmer;Abbatt;Shiraiwa;Vance;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,24
"589","Organic aerosol components observed in Northern Hemispheric datasets from Aerosol Mass Spectrometry","Ruiz;Kroll","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,611
"590","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Ruiz;Goldstein;Novoselac;Farmer;Abbatt;Vance;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,62
"591","Quantification of cooking organic aerosol in the indoor environment using aerodyne aerosol mass spectrometers","Ruiz;Goldstein;Farmer;Vance","AEROSOL SCIENCE AND TECHNOLOGY",2021,2
"592","Real-time organic aerosol chemical speciation in the indoor environment using extractive electrospray ionization mass spectrometry","Ruiz;Goldstein;Farmer;Vance","INDOOR AIR",2021,6
"593","A molecular picture of surface interactions of organic compounds on prevalent indoor surfaces: limonene adsorption on SiO2","Shiraiwa;Grassian","CHEMICAL SCIENCE",2019,26
"594","Accurate Prediction of Organic Aerosol Evaporation Using Kinetic Multilayer Modeling and the Stokes-Einstein Equation","Shiraiwa;Young","JOURNAL OF PHYSICAL CHEMISTRY A",2021,1
"595","Assessing Human Exposure to SVOCs in Materials, Products, and Articles: A Modular Mechanistic Framework","Shiraiwa;Morrison","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,6
"596","Composition and hygroscopicity of the Los Angeles Aerosol: CalNex","Shiraiwa;Prather","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,64
"597","Condensed-phase biogenic-anthropogenic interactions with implications for cold cloud formation","Shiraiwa;O'Brien","FARADAY DISCUSSIONS",2017,18
"598","Emerging investigator series: chemical and physical properties of organic mixtures on indoor surfaces during HOMEChem","Shiraiwa;O'Brien;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,0
"599","General overview: European Integrated project on Aerosol Cloud Climate and Air Quality interactions (EUCAARI) - integrating aerosol research from nano to global scales","Shiraiwa;Carslaw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,174
"600","Indoor aerosol water content and phase state in US residences: impacts of relative humidity, aerosol mass and composition, and mechanical system operation","Shiraiwa;Waring","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,2
"601","Indoor boundary layer chemistry modeling","Shiraiwa;Morrison;Abbatt","INDOOR AIR",2019,6
"602","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Shiraiwa;Ault;Donaldson;Farmer;Morrison;Vance;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"603","Kinetic limitations in gas-particle reactions arising from slow diffusion in secondary organic aerosol","Shiraiwa;Abbatt","FARADAY DISCUSSIONS",2013,93
"604","Modelling consortium for chemistry of indoor environments (MOCCIE): integrating chemical processes from molecular to room scales","Shiraiwa;Young;Rim;Morrison;Waring;Carslaw","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,16
"605","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Shiraiwa;Goldstein;Farmer;Abbatt;Ruiz;Vance;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,24
"606","Multiphase reactivity of polycyclic aromatic hydrocarbons is driven by phase separation and diffusion limitations","Shiraiwa;Abbatt","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2019,32
"607","Nitrate radicals and biogenic volatile organic compounds: oxidation, mechanisms, and organic aerosol","Shiraiwa;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,179
"608","Particle Size Distribution Dynamics Can Help Constrain the Phase State of Secondary Organic Aerosol","Shiraiwa;Farmer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,1
"609","Reactive Uptake of Ozone to Simulated Seawater: Evidence for Iodide Depletion","Shiraiwa;Abbatt","JOURNAL OF PHYSICAL CHEMISTRY A",2020,0
"610","Secondary organic aerosol yields of 12-carbon alkanes","Shiraiwa;Ziemann","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,63
